Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086338,2022,04,10,26.7,1,Y
IDCJAC0010,086338,2022,04,11,18.8,1,Y
IDCJAC0010,086338,2022,04,12,17.7,1,Y
IDCJAC0010,086338,2022,04,13,20.0,1,Y
IDCJAC0010,086338,2022,04,14,24.7,1,Y
IDCJAC0010,086338,2022,04,15,26.2,1,Y
IDCJAC0010,086338,2022,04,16,28.9,1,Y
IDCJAC0010,086338,2022,04,17,28.0,1,Y
IDCJAC0010,086338,2022,04,18,17.5,1,Y
IDCJAC0010,086338,2022,04,19,15.8,1,Y
IDCJAC0010,086338,2022,04,20,19.9,1,Y
IDCJAC0010,086338,2022,04,21,17.1,1,Y
IDCJAC0010,086338,2022,04,22,18.2,1,Y
IDCJAC0010,086338,2022,04,23,17.8,1,Y
IDCJAC0010,086338,2022,04,24,17.6,1,Y
IDCJAC0010,086338,2022,04,25,24.2,1,Y
IDCJAC0010,086338,2022,04,26,23.1,1,Y
IDCJAC0010,086338,2022,04,27,22.0,1,Y
IDCJAC0010,086338,2022,04,28,22.4,1,Y
IDCJAC0010,086338,2022,04,29,20.8,1,Y
IDCJAC0010,086338,2022,04,30,17.9,1,Y
IDCJAC0010,086338,2022,05,01,19.3,1,Y
IDCJAC0010,086338,2022,05,02,22.1,1,Y
IDCJAC0010,086338,2022,05,03,20.7,1,Y
IDCJAC0010,086338,2022,05,04,16.4,1,Y
IDCJAC0010,086338,2022,05,05,14.1,1,Y
IDCJAC0010,086338,2022,05,06,15.2,1,Y
IDCJAC0010,086338,2022,05,07,15.3,1,Y
IDCJAC0010,086338,2022,05,08,16.3,1,Y
IDCJAC0010,086338,2022,05,09,16.6,1,Y
IDCJAC0010,086338,2022,05,10,18.4,1,Y
IDCJAC0010,086338,2022,05,11,17.5,1,Y
IDCJAC0010,086338,2022,05,12,18.1,1,Y
IDCJAC0010,086338,2022,05,13,17.9,1,Y
IDCJAC0010,086338,2022,05,14,18.5,1,Y
IDCJAC0010,086338,2022,05,15,21.8,1,Y
IDCJAC0010,086338,2022,05,16,15.9,1,Y
IDCJAC0010,086338,2022,05,17,15.6,1,Y
IDCJAC0010,086338,2022,05,18,15.4,1,Y
IDCJAC0010,086338,2022,05,19,14.7,1,Y
IDCJAC0010,086338,2022,05,20,15.8,1,Y
IDCJAC0010,086338,2022,05,21,14.9,1,Y
IDCJAC0010,086338,2022,05,22,14.3,1,Y
IDCJAC0010,086338,2022,05,23,17.1,1,Y
IDCJAC0010,086338,2022,05,24,20.8,1,Y
IDCJAC0010,086338,2022,05,25,19.6,1,Y
IDCJAC0010,086338,2022,05,26,16.3,1,Y
IDCJAC0010,086338,2022,05,27,16.6,1,Y
IDCJAC0010,086338,2022,05,28,14.6,1,Y
IDCJAC0010,086338,2022,05,29,16.5,1,Y
IDCJAC0010,086338,2022,05,30,11.7,1,Y
IDCJAC0010,086338,2022,05,31,11.4,1,Y
IDCJAC0010,086338,2022,06,01,11.9,1,N
IDCJAC0010,086338,2022,06,02,13.0,1,N
IDCJAC0010,086338,2022,06,03,12.6,1,N
IDCJAC0010,086338,2022,06,04,14.9,1,N
IDCJAC0010,086338,2022,06,05,13.7,1,N
IDCJAC0010,086338,2022,06,06,13.3,1,N
IDCJAC0010,086338,2022,06,07,11.9,1,N
IDCJAC0010,086338,2022,06,08,12.8,1,N
IDCJAC0010,086338,2022,06,09,13.4,1,N
IDCJAC0010,086338,2022,06,10,14.1,1,N
IDCJAC0010,086338,2022,06,11,13.0,1,N
IDCJAC0010,086338,2022,06,12,13.3,1,N
IDCJAC0010,086338,2022,06,13,13.0,1,N
IDCJAC0010,086338,2022,06,14,13.5,1,N
IDCJAC0010,086338,2022,06,15,13.8,1,N
IDCJAC0010,086338,2022,06,16,14.4,1,N
IDCJAC0010,086338,2022,06,17,13.8,1,N
IDCJAC0010,086338,2022,06,18,15.7,1,N
IDCJAC0010,086338,2022,06,19,16.2,1,N
IDCJAC0010,086338,2022,06,20,17.7,1,N
IDCJAC0010,086338,2022,06,21,14.9,1,N
IDCJAC0010,086338,2022,06,22,15.8,1,N
